Maladie,Sponsor,Statut,Titre,URL
Lung Cancer,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Completed,Study Details | NCT03134534 | Robot,https://clinicaltrials.gov/study/NCT03134534?cond=Lung%20Cancer&viewType=Card&page=2&rank=11
Lung Cancer,"Information provided by Ethicon, Inc. (Responsible Party)",Completed,Study Results | NCT04889989 | Microwave Ablation in Chinese Patients With Lung Tumors | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04889989?cond=Lung%20Cancer&viewType=Card&page=2&rank=12&tab=results
Lung Cancer,"Information provided by Ethicon, Inc. (Responsible Party)",Terminated,Study Details | NCT04889989 | Microwave Ablation in Chinese Patients With Lung Tumors | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04889989?cond=Lung%20Cancer&viewType=Card&page=2&rank=12
Lung Cancer,"Information provided by Shahbaz Ahmad, University of Lahore (Responsible Party)",Recruiting,"Study Details | NCT05118347 | Effects of Buteyko Breathing Technique Versus Incentive Spirometer on Breath Holding Time, Cardiopulmonary Endurance and Quality of Life in Patients With Post Lung Tumor Resection | ClinicalTrials.gov",https://clinicaltrials.gov/study/NCT05118347?cond=Lung%20Cancer&viewType=Card&page=2&rank=13
Lung Cancer,Information provided by National Taiwan University Hospital (Responsible Party),Completed,Study Details | NCT03881410 | The Efficacy of Shear-wave Elastography,https://clinicaltrials.gov/study/NCT03881410?cond=Lung%20Cancer&viewType=Card&page=2&rank=14
Lung Cancer,Information provided by Japan Clinical Oncology Group,Completed,Study Details | NCT00128037 | Trial of Pre,https://clinicaltrials.gov/study/NCT00128037?cond=Lung%20Cancer&viewType=Card&page=2&rank=15
Lung Cancer,"Information provided by Fuda Cancer Hospital, Guangzhou (Responsible Party)",Completed,Study Details | NCT02430597 | Irreversible Electroporation(IRE) For Unresectable Hilus Pulmonis Neoplasms | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02430597?cond=Lung%20Cancer&viewType=Card&page=2&rank=16
Lung Cancer,Information provided by Hopital Foch (Responsible Party),Completed,Study Details | NCT02853188 | Measure of Plasma Tissue Factor to Predict a Venous Thromboembolism in Primitive Cancer of Lung | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02853188?cond=Lung%20Cancer&viewType=Card&page=2&rank=17
Lung Cancer,Information provided by Dacima Consulting (Responsible Party),Recruiting,Study Details | NCT06934499 | Tunisian Lung Cancer Study | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06934499?cond=Lung%20Cancer&viewType=Card&page=2&rank=18
Lung Cancer,Information provided by Affiliated Cancer Hospital & Institute of Guangzhou Medical University (Responsible Party),Recruiting,Study Details | NCT06531850 | Prospective Study of Serum Marker LncRNA RP5,https://clinicaltrials.gov/study/NCT06531850?cond=Lung%20Cancer&viewType=Card&page=2&rank=19
Lung Cancer,Information provided by Region Stockholm (Responsible Party),Recruiting,Study Details | NCT06322329 | RealMove (Lung): Assessing Tumour Motion With Dynamic MRI | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06322329?cond=Lung%20Cancer&viewType=Card&page=2&rank=20
Lung Cancer,"Information provided by Michel Chalhoub, Northwell Health (Responsible Party)",Completed,Study Details | NCT01734980 | Endobronchial Ultrasound Transbronchial Needle Aspiration Using Needle Suction Versus No Suction | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01734980?cond=Lung%20Cancer&viewType=Card&page=3&rank=21
Lung Cancer,"Information provided by Haruhiko Fukuda, Japan Clinical Oncology Group (Responsible Party)",Completed,Study Details | NCT00132639 | Study of Preoperative Docetaxel or Cisplatin (CDDP) + Docetaxel for C-stage IB-II Non,https://clinicaltrials.gov/study/NCT00132639?cond=Lung%20Cancer&viewType=Card&page=3&rank=22
Lung Cancer,"Information provided by Nanospectra Biosciences, Inc. (Responsible Party)",Terminated,Study Details | NCT01679470 | Efficacy Study of AuroLase Therapy in Subjects With Primary and/or Metastatic Lung Tumors | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01679470?cond=Lung%20Cancer&viewType=Card&page=3&rank=23
Lung Cancer,Information provided by The University of Texas Health Science Center at San Antonio (Responsible Party),Completed,Study Details | NCT04717804 | 4D CBCT and Intrafractional Imaging for the Determination of the Most Representative 4D Simulation Planning Technique for Lung SBRT Technique Patients | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04717804?cond=Lung%20Cancer&viewType=Card&page=3&rank=24
Lung Cancer,"Information provided by University Hospital, Tours",Terminated,Study Details | NCT00241267 | Bronchial Ultrasonography Via a Fibrescope: Pilot Study in Tumoral Disease | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT00241267?cond=Lung%20Cancer&viewType=Card&page=3&rank=25
Lung Cancer,Information provided by Impact Biotech Ltd (Responsible Party),Recruiting,Study Details | NCT05918783 | Padeliporfin VTP Using Robotic Assisted Bronchoscopy in Peripheral Lung Cancer | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05918783?cond=Lung%20Cancer&viewType=Card&page=3&rank=26
Lung Cancer,"Information provided by Centre Hospitalier Universitaire, Amiens (Responsible Party)",Completed,Study Details | NCT03645915 | GLUT1: A Novel Tool re fl Ecting Proliferative Activity of Lung Neuroendocrine Tumors | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03645915?cond=Lung%20Cancer&viewType=Card&page=3&rank=27
Lung Cancer,"Information provided by E.C. Boerma, Frisius Medisch Centrum (Responsible Party)",Recruiting,Study Details | NCT05545085 | Thoracoscopic Laser Speckle Contrast Imaging for Segment Resections | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05545085?cond=Lung%20Cancer&viewType=Card&page=3&rank=28
Lung Cancer,"Information provided by Galvanize Therapeutics, Inc. (Responsible Party)",Completed,Study Details | NCT05890872 | Aliya™ Pulsed Electric Fields (PEF) for Advanced Cancer | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05890872?cond=Lung%20Cancer&viewType=Card&page=3&rank=29
Lung Cancer,Information provided by Abramson Cancer Center at Penn Medicine (Responsible Party),Completed,Study Details | NCT02559349 | Gut Microbiota And Radiotherapy | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02559349?cond=Lung%20Cancer&viewType=Card&page=3&rank=30
Lung Cancer,"Information provided by Michael Brun Andersen, Copenhagen University Hospital at Herlev (Responsible Party)",Recruiting,Study Details | NCT06440616 | Benefit of Spectral Information in Patients Suspected for Lung Cancer | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06440616?cond=Lung%20Cancer&viewType=Card&page=4&rank=31
Lung Cancer,Information provided by Merck Sharp & Dohme LLC (Responsible Party),Recruiting,Study Details | NCT06788912 | Pembrolizumab (MK-3475) Plus Investigational Agents in Resectable Non-small Cell Lung Cancer (NSCLC) (MK-3475-01E/KEYMAKER,https://clinicaltrials.gov/study/NCT06788912?cond=Lung%20Cancer&viewType=Card&page=4&rank=32
Lung Cancer,"Information provided by Zhou Chengzhi, Guangzhou Institute of Respiratory Disease (Responsible Party)",Recruiting,Study Details | NCT05826483 | Almonertinib in the First,https://clinicaltrials.gov/study/NCT05826483?cond=Lung%20Cancer&viewType=Card&page=4&rank=33
Lung Cancer,Information provided by European Institute of Oncology (Responsible Party),Recruiting,Study Details | NCT05974475 | MONDRIAN: Multi-omics Integrative Modelling for Stereotactic Body Radiotherapy in Early-stage Non,https://clinicaltrials.gov/study/NCT05974475?cond=Lung%20Cancer&viewType=Card&page=4&rank=34
Lung Cancer,Information provided by Weill Medical College of Cornell University (Responsible Party),Completed,Study Results | NCT01783236 | Analgesic Efficacy of Intravenous Acetaminophen After Video,https://clinicaltrials.gov/study/NCT01783236?cond=Lung%20Cancer&viewType=Card&page=4&rank=35&tab=results
Lung Cancer,Information provided by Weill Medical College of Cornell University (Responsible Party),Completed,Study Details | NCT01783236 | Analgesic Efficacy of Intravenous Acetaminophen After Video,https://clinicaltrials.gov/study/NCT01783236?cond=Lung%20Cancer&viewType=Card&page=4&rank=35
Lung Cancer,"Information provided by Sei Won Lee, Asan Medical Center (Responsible Party)",Inconnu,Study Details | NCT05414188 | Beneficial Effect of Pulmonary Rehabilitation in Lung Cancer Patients Receiving Radiation Therapy | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05414188?cond=Lung%20Cancer&viewType=Card&page=4&rank=36
Lung Cancer,"Information provided by University Hospital, Toulouse (Responsible Party)",Completed,Study Details | NCT03293433 | Quantification of microRNAs in Diagnosis of Pulmonary Nodules | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03293433?cond=Lung%20Cancer&viewType=Card&page=4&rank=37
Lung Cancer,"Information provided by Mohamed Salama, Otto Wagner Hospital (Responsible Party)",Recruiting,Study Details | NCT04778826 | Immune Response Following Lobectomy Along With or Without Bilateral Transcervical Mediastinal Lymphadenectomy | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04778826?cond=Lung%20Cancer&viewType=Card&page=4&rank=38
Lung Cancer,"Information provided by Barbara C. Brocki, Aalborg University Hospital (Responsible Party)",Completed,Study Details | NCT01048762 | Multidisciplinary Rehabilitation After Cancer Pulmonis Operation | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01048762?cond=Lung%20Cancer&viewType=Card&page=4&rank=39
Lung Cancer,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Recruiting,Study Details | NCT04973293 | Preoperative Sintilimab Combined With Bevacizumab and Chemotherapy for Resectable Non,https://clinicaltrials.gov/study/NCT04973293?cond=Lung%20Cancer&viewType=Card&page=4&rank=40
Lung Cancer,"Information provided by Professor Alex MOLASIOTIS, The Hong Kong Polytechnic University (Responsible Party)",Completed,Study Details | NCT03834116 | Resistance Inspiratory Muscle Training for Patients With Thoracic Malignancies | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03834116?cond=Lung%20Cancer&viewType=Card&page=5&rank=41
Lung Cancer,Information provided by Peking University First Hospital (Responsible Party),Inconnu,Study Details | NCT05840094 | Multimodalitic Imaging in the N,https://clinicaltrials.gov/study/NCT05840094?cond=Lung%20Cancer&viewType=Card&page=5&rank=42
Lung Cancer,"Information provided by In-Jae, Oh, MD, Chonnam National University Hospital (Responsible Party)",Completed,Study Details | NCT04059887 | Evaluation of Blood TMB for the Efficacy of Atezolizumab [BUDDY] | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04059887?cond=Lung%20Cancer&viewType=Card&page=5&rank=43
Lung Cancer,Information provided by Yale University (Responsible Party),Completed,Study Results | NCT03352245 | Feasibility of an Activity Regimen in Patients With Advanced Stage Lung Cancer | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03352245?cond=Lung%20Cancer&viewType=Card&page=5&rank=44&tab=results
Lung Cancer,Information provided by Yale University (Responsible Party),Completed,Study Details | NCT03352245 | Feasibility of an Activity Regimen in Patients With Advanced Stage Lung Cancer | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03352245?cond=Lung%20Cancer&viewType=Card&page=5&rank=44
Lung Cancer,"Information provided by Menghua Tao, Henry Ford Health System (Responsible Party)",Recruiting,Study Details | NCT07064395 | Bright Light Therapy on Sleep Health in Lung Cancer Patients | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07064395?cond=Lung%20Cancer&viewType=Card&page=5&rank=45
Lung Cancer,Information provided by Peking Union Medical College Hospital (Responsible Party),Inconnu,Study Details | NCT07023068 | ⁶⁸Ga,https://clinicaltrials.gov/study/NCT07023068?cond=Lung%20Cancer&viewType=Card&page=5&rank=46
Lung Cancer,Information provided by Guangdong Association of Clinical Trials (Responsible Party),Terminated,Study Details | NCT02985203 | Oral Navelbine and Cisplatin Followed by Metronomic Oral Navelbine in Non,https://clinicaltrials.gov/study/NCT02985203?cond=Lung%20Cancer&viewType=Card&page=5&rank=47
Lung Cancer,"Information provided by Liu Zhishun, Guang'anmen Hospital of China Academy of Chinese Medical Sciences (Responsible Party)",Recruiting,Study Details | NCT06926140 | Acupuncture Combined With PD-1/PD,https://clinicaltrials.gov/study/NCT06926140?cond=Lung%20Cancer&viewType=Card&page=5&rank=48
Lung Cancer,"Information provided by Chris Goodman, London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's (Responsible Party)",Inconnu,Study Details | NCT06794125 | An Evaluation of Dose,https://clinicaltrials.gov/study/NCT06794125?cond=Lung%20Cancer&viewType=Card&page=5&rank=49
Lung Cancer,"Information provided by Everest Detection, Inc. (Responsible Party)",Inconnu,Study Details | NCT06816121 | Identification and Validation of Blood-Based Biomarkers for Early Detection of Asymptomatic Lung Cancer in High,https://clinicaltrials.gov/study/NCT06816121?cond=Lung%20Cancer&viewType=Card&page=5&rank=50
Lung Cancer,Information provided by Integro Theranostics (Responsible Party),Active,"Study Details | NCT06713564 | A Single Dose, Open-Label, Dose-escalation Study of the Safety and Imaging Characteristics of LS301",https://clinicaltrials.gov/study/NCT06713564?cond=Lung%20Cancer&viewType=Card&page=6&rank=51
Lung Cancer,Information provided by Fuzhou General Hospital (Responsible Party),Inconnu,Study Details | NCT06772363 | SERS,https://clinicaltrials.gov/study/NCT06772363?cond=Lung%20Cancer&viewType=Card&page=6&rank=52
Lung Cancer,Information provided by Peking University Cancer Hospital & Institute (Responsible Party),Inconnu,Study Details | NCT06674252 | A Study on the Improvement of Postoperative Symptoms and Survival Benefits of Modified Bufei Decoction in Elderly Patients With Lung Cancer Undergoing Radical Surgery | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06674252?cond=Lung%20Cancer&viewType=Card&page=6&rank=53
Lung Cancer,"Information provided by Akhil Patel, George Washington University (Responsible Party)",Recruiting,Study Details | NCT06810375 | Erector Spinae Versus Intercostal Nerve Blocks With Liposomal Bupivacaine for Analgesia in Thoracic Surgery | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06810375?cond=Lung%20Cancer&viewType=Card&page=6&rank=54
Lung Cancer,"Information provided by Jiayuan Sun, Shanghai Chest Hospital (Responsible Party)",Recruiting,Study Details | NCT07045532 | Assessment the Effectiveness of BTVA in COPD and Ablation in Pulmonary Nodules by Pulmonary MRI | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07045532?cond=Lung%20Cancer&viewType=Card&page=6&rank=55
Lung Cancer,Information provided by AstraZeneca,Completed,Study Results | NCT00344773 | First,https://clinicaltrials.gov/study/NCT00344773?cond=Lung%20Cancer&viewType=Card&page=6&rank=56&tab=results
Lung Cancer,Information provided by AstraZeneca,Completed,Study Details | NCT00344773 | First,https://clinicaltrials.gov/study/NCT00344773?cond=Lung%20Cancer&viewType=Card&page=6&rank=56
Lung Cancer,"Information provided by Piotr Palaczyński, Medical University of Silesia (Responsible Party)",Completed,Study Details | NCT03749512 | NLCR in Prediction of the Grade of Lung Tumor. | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03749512?cond=Lung%20Cancer&viewType=Card&page=6&rank=57
Lung Cancer,"Information provided by Shanghai Youhe Medical Technology Co., Ltd. (Responsible Party)",Recruiting,Study Details | NCT04447482 | ENB Vs. Conventional Bronchoscopy With Fluoroscopy for Safe and Effective Biopsy of Pulmonary Lesions | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04447482?cond=Lung%20Cancer&viewType=Card&page=6&rank=58
Lung Cancer,"Information provided by Per thor Straten, Herlev Hospital (Responsible Party)",Active,Study Details | NCT04263467 | High Intensity Aerobic Exercise Training and Immune Cell Mobilization in Patients With Lung Cancer (HI AIM) | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04263467?cond=Lung%20Cancer&viewType=Card&page=6&rank=59
Lung Cancer,Information provided by Seoul National University Bundang Hospital (Responsible Party),Recruiting,Study Details | NCT07102589 | SWEEP: Shuttle Walking Test for Exercise Evaluation in Pulmonary Resection | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07102589?cond=Lung%20Cancer&viewType=Card&page=6&rank=60
Lung Cancer,Information provided by Rarecells Diagnostics SAS (Responsible Party),Recruiting,Study Details | NCT06546007 | Rarecells Molecular Biomarkers for Early Detection of Lung Cancer | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06546007?cond=Lung%20Cancer&viewType=Card&page=7&rank=61
Lung Cancer,"Information provided by Zeynep Kızılcık Ozkan, Trakya University (Responsible Party)",Completed,Study Details | NCT05915221 | Effect of SMS Use on Postoperative Respiratory and Cough Exercise Compliance | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05915221?cond=Lung%20Cancer&viewType=Card&page=7&rank=62
Lung Cancer,Information provided by Chang Gung Memorial Hospital (Responsible Party),Completed,Study Details | NCT04974632 | Mobile 3D C,https://clinicaltrials.gov/study/NCT04974632?cond=Lung%20Cancer&viewType=Card&page=7&rank=63
Lung Cancer,Information provided by Institut de Cancérologie de la Loire (Responsible Party),Recruiting,Study Details | NCT02696863 | Plan for Systematic Identification of Lung Cancers of Occupational Origin: Implementation Study | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02696863?cond=Lung%20Cancer&viewType=Card&page=7&rank=64
Lung Cancer,Information provided by RenJi Hospital (Responsible Party),Inconnu,Study Details | NCT05745506 | Effect of Sleep Disorder on the Development of Lung Tumors | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05745506?cond=Lung%20Cancer&viewType=Card&page=7&rank=65
Lung Cancer,Information provided by Wake Forest University Health Sciences (Responsible Party),Completed,Study Results | NCT03861091 | Prophylactic Risedronate for Patients With Peripheral Lung Tumors Treated With SBRT | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03861091?cond=Lung%20Cancer&viewType=Card&page=7&rank=66&tab=results
Lung Cancer,Information provided by Wake Forest University Health Sciences (Responsible Party),Completed,Study Details | NCT03861091 | Prophylactic Risedronate for Patients With Peripheral Lung Tumors Treated With SBRT | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03861091?cond=Lung%20Cancer&viewType=Card&page=7&rank=66
Lung Cancer,Information provided by National Taiwan University Hospital (Responsible Party),Completed,Study Details | NCT06542055 | Compare the Effects of Preoperative Pulmonary Rehabilitation Exercises on Postoperative Anxiety and Muscle Strength | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06542055?cond=Lung%20Cancer&viewType=Card&page=7&rank=67
Lung Cancer,Information provided by Washington University School of Medicine (Responsible Party),Completed,Study Details | NCT06236516 | One Fraction Simulation-Free Treatment With CT,https://clinicaltrials.gov/study/NCT06236516?cond=Lung%20Cancer&viewType=Card&page=7&rank=68
Lung Cancer,Information provided by National Taiwan University Hospital,Completed,Study Details | NCT01388803 | The Depth of Right Bronchial Blocker Placement in Taiwanese in Video,https://clinicaltrials.gov/study/NCT01388803?cond=Lung%20Cancer&viewType=Card&page=7&rank=69
Lung Cancer,"Information provided by Qian Chu, Tongji Hospital (Responsible Party)",Recruiting,Study Details | NCT04888429 | Camrelizumab Plus Famitinib as Treatment in Patient With Advanced or Metastatic Pulmonary Sarcomatoid Carcinoma | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04888429?cond=Lung%20Cancer&viewType=Card&page=7&rank=70
Lung Cancer,"Information provided by CSA Medical, Inc. (Responsible Party)",Completed,Study Details | NCT02483052 | RejuvenAir Lobectomy for Safety and Histology | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02483052?cond=Lung%20Cancer&viewType=Card&page=8&rank=71
Lung Cancer,"Information provided by Ernest Scalzetti, State University of New York - Upstate Medical University (Responsible Party)",Withdrawn,Study Details | NCT00638625 | Correlation of X,https://clinicaltrials.gov/study/NCT00638625?cond=Lung%20Cancer&viewType=Card&page=8&rank=72
Lung Cancer,"Information provided by Maxwell. T. Vergo, Dartmouth-Hitchcock Medical Center (Responsible Party)",Completed,"Study Details | NCT02575898 | Feasibility of a Creative Writing Intervention in an Advanced Cancer Population: A Single Arm, Consecutive Cohort Study | ClinicalTrials.gov",https://clinicaltrials.gov/study/NCT02575898?cond=Lung%20Cancer&viewType=Card&page=8&rank=73
Lung Cancer,"Information provided by Yu Zhang, PhD, Guangdong Provincial People's Hospital (Responsible Party)",Completed,Study Details | NCT07100444 | Spinal Metastasis as the First Presentation of Lung Malignancy: Clinical Characteristics and Postoperative Survival | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07100444?cond=Lung%20Cancer&viewType=Card&page=8&rank=74
Lung Cancer,Information provided by Washington University School of Medicine (Responsible Party),Inconnu,Study Details | NCT07146568 | Evaluating the Implementation and Effectiveness of the Pink and Pearl Campaign on Lung Cancer Screening at Christian Hospital | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07146568?cond=Lung%20Cancer&viewType=Card&page=8&rank=75
Lung Cancer,Information provided by Washington University School of Medicine (Responsible Party),Recruiting,Study Details | NCT06898333 | Implementation and Effectiveness of the BJC,https://clinicaltrials.gov/study/NCT06898333?cond=Lung%20Cancer&viewType=Card&page=8&rank=76
Lung Cancer,"Information provided by Hyun Joo Ahn, Samsung Medical Center (Responsible Party)",Completed,Study Details | NCT02331056 | Could the Stroke Volume Variation Predict a Fluid Responsiveness in Thoracotomy? | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02331056?cond=Lung%20Cancer&viewType=Card&page=8&rank=77
Lung Cancer,Information provided by Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau (Responsible Party),Inconnu,Study Details | NCT06157957 | Cancer Screening Smoking Cessation AND Respiratory Assessment | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06157957?cond=Lung%20Cancer&viewType=Card&page=8&rank=78
Lung Cancer,Information provided by Merck Sharp & Dohme LLC (Responsible Party),Recruiting,Study Details | NCT06780098 | Substudy 01I: A Study of Investigational Agents in Participants With Previously Treated Stage IV Squamous Non-small Cell Lung Cancer (NSCLC) (MK-3475-01I/KEYMAKER,https://clinicaltrials.gov/study/NCT06780098?cond=Lung%20Cancer&viewType=Card&page=8&rank=79
Lung Cancer,"Information provided by Fabien Maldonado, Vanderbilt-Ingram Cancer Center (Responsible Party)",Recruiting,Study Details | NCT06638398 | Biomarker Platform (Virtual Nodule Clinic) for the Management of Indeterminate Pulmonary Nodules | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06638398?cond=Lung%20Cancer&viewType=Card&page=8&rank=80
Lung Cancer,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Withdrawn,Study Details | NCT04529603 | The Efficacy of Intraoperative Pulmonary Nodules Localization Guided by Virtual Reality Technology | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04529603?cond=Lung%20Cancer&viewType=Card&page=9&rank=81
Lung Cancer,"Information provided by Guanghong Zhou, Sichuan Provincial People's Hospital (Responsible Party)",Recruiting,Study Details | NCT06419114 | Exploration of Optical Coherence Tomography,https://clinicaltrials.gov/study/NCT06419114?cond=Lung%20Cancer&viewType=Card&page=9&rank=82
Lung Cancer,"Information provided by phenoMapper, LLC (Responsible Party)",Recruiting,Study Details | NCT06158971 | Feasibility Study of the Microwave Ablation System for Lung Tissue Ablation | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06158971?cond=Lung%20Cancer&viewType=Card&page=9&rank=83
Lung Cancer,Information provided by Hospital Israelita Albert Einstein (Responsible Party),Completed,Study Details | NCT05081674 | Brazilian Lung Immunotherapy Study | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05081674?cond=Lung%20Cancer&viewType=Card&page=9&rank=84
Lung Cancer,"Information provided by Christophe Dooms, MD, PhD, KU Leuven (Responsible Party)",Recruiting,Study Details | NCT02906280 | RCT Comparing 19Ga vs 22Ga EBUS,https://clinicaltrials.gov/study/NCT02906280?cond=Lung%20Cancer&viewType=Card&page=9&rank=85
Lung Cancer,Information provided by University of Sydney (Responsible Party),Inconnu,Study Details | NCT06159660 | Ventilation Using Radiographic Examination: Functional Lung Imaging Techniques for the Reduction of Toxicity in Functional Avoidance Radiation Therapy | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06159660?cond=Lung%20Cancer&viewType=Card&page=9&rank=86
Lung Cancer,"Information provided by Pedro Machado, Instituto Politécnico de Leiria (Responsible Party)",Completed,Study Details | NCT05473052 | Home,https://clinicaltrials.gov/study/NCT05473052?cond=Lung%20Cancer&viewType=Card&page=9&rank=87
Lung Cancer,"Information provided by Pedro Machado, Instituto Politécnico de Leiria (Responsible Party)",Completed,Study Details | NCT05469425 | Home,https://clinicaltrials.gov/study/NCT05469425?cond=Lung%20Cancer&viewType=Card&page=9&rank=88
Lung Cancer,Information provided by European Lung Cancer Working Party (Responsible Party),Recruiting,Study Details | NCT03368820 | Cardiovascular Morbidities and Lung Cancer Treatment: a Prospective Registry | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03368820?cond=Lung%20Cancer&viewType=Card&page=9&rank=89
