Cancer,Trial_ID,Title,Sponsor,Status,URL
Lung Cancer,NCT00132639,Study of Preoperative Docetaxel or Cisplatin (CDDP) + Docetaxel for C-stage IB-II Non,"Information provided by Haruhiko Fukuda, Japan Clinical Oncology Group (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT00132639?cond=Lung%20Cancer&viewType=Card&page=3&rank=22
Lung Cancer,NCT01679470,Efficacy Study of AuroLase Therapy in Subjects With Primary and/or Metastatic Lung Tumors,"Information provided by Nanospectra Biosciences, Inc. (Responsible Party)",Terminated,https://clinicaltrials.gov/study/NCT01679470?cond=Lung%20Cancer&viewType=Card&page=3&rank=23
Lung Cancer,NCT04717804,4D CBCT and Intrafractional Imaging for the Determination of the Most Representative 4D Simulation Planning Technique for Lung SBRT Technique Patients,Information provided by The University of Texas Health Science Center at San Antonio (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT04717804?cond=Lung%20Cancer&viewType=Card&page=3&rank=24
Lung Cancer,NCT00241267,Bronchial Ultrasonography Via a Fibrescope: Pilot Study in Tumoral Disease,"Information provided by University Hospital, Tours",Terminated,https://clinicaltrials.gov/study/NCT00241267?cond=Lung%20Cancer&viewType=Card&page=3&rank=25
Lung Cancer,NCT05918783,Padeliporfin VTP Using Robotic Assisted Bronchoscopy in Peripheral Lung Cancer,Information provided by Impact Biotech Ltd (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT05918783?cond=Lung%20Cancer&viewType=Card&page=3&rank=26
Lung Cancer,NCT03645915,GLUT1: A Novel Tool re fl Ecting Proliferative Activity of Lung Neuroendocrine Tumors,"Information provided by Centre Hospitalier Universitaire, Amiens (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT03645915?cond=Lung%20Cancer&viewType=Card&page=3&rank=27
Lung Cancer,NCT05545085,Thoracoscopic Laser Speckle Contrast Imaging for Segment Resections,"Information provided by E.C. Boerma, Frisius Medisch Centrum (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT05545085?cond=Lung%20Cancer&viewType=Card&page=3&rank=28
Lung Cancer,NCT05890872,Aliya™ Pulsed Electric Fields (PEF) for Advanced Cancer,"Information provided by Galvanize Therapeutics, Inc. (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT05890872?cond=Lung%20Cancer&viewType=Card&page=3&rank=29
Lung Cancer,NCT02559349,Gut Microbiota And Radiotherapy,Information provided by Abramson Cancer Center at Penn Medicine (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT02559349?cond=Lung%20Cancer&viewType=Card&page=3&rank=30
Lung Cancer,NCT06440616,Benefit of Spectral Information in Patients Suspected for Lung Cancer,"Information provided by Michael Brun Andersen, Copenhagen University Hospital at Herlev (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT06440616?cond=Lung%20Cancer&viewType=Card&page=4&rank=31
Lung Cancer,NCT06788912,Pembrolizumab (MK-3475) Plus Investigational Agents in Resectable Non-small Cell Lung Cancer (NSCLC) (MK-3475-01E/KEYMAKER,Information provided by Merck Sharp & Dohme LLC (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT06788912?cond=Lung%20Cancer&viewType=Card&page=4&rank=32
Lung Cancer,NCT05826483,Almonertinib in the First,"Information provided by Zhou Chengzhi, Guangzhou Institute of Respiratory Disease (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT05826483?cond=Lung%20Cancer&viewType=Card&page=4&rank=33
Lung Cancer,NCT05974475,MONDRIAN: Multi-omics Integrative Modelling for Stereotactic Body Radiotherapy in Early-stage Non,Information provided by European Institute of Oncology (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT05974475?cond=Lung%20Cancer&viewType=Card&page=4&rank=34
Lung Cancer,NCT01783236,Analgesic Efficacy of Intravenous Acetaminophen After Video,Information provided by Weill Medical College of Cornell University (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT01783236?cond=Lung%20Cancer&viewType=Card&page=4&rank=35&tab=results
Lung Cancer,NCT05414188,Beneficial Effect of Pulmonary Rehabilitation in Lung Cancer Patients Receiving Radiation Therapy,"Information provided by Sei Won Lee, Asan Medical Center (Responsible Party)",Inconnu,https://clinicaltrials.gov/study/NCT05414188?cond=Lung%20Cancer&viewType=Card&page=4&rank=36
Lung Cancer,NCT03293433,Quantification of microRNAs in Diagnosis of Pulmonary Nodules,"Information provided by University Hospital, Toulouse (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT03293433?cond=Lung%20Cancer&viewType=Card&page=4&rank=37
Lung Cancer,NCT04778826,Immune Response Following Lobectomy Along With or Without Bilateral Transcervical Mediastinal Lymphadenectomy,"Information provided by Mohamed Salama, Otto Wagner Hospital (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT04778826?cond=Lung%20Cancer&viewType=Card&page=4&rank=38
Lung Cancer,NCT01048762,Multidisciplinary Rehabilitation After Cancer Pulmonis Operation,"Information provided by Barbara C. Brocki, Aalborg University Hospital (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT01048762?cond=Lung%20Cancer&viewType=Card&page=4&rank=39
Lung Cancer,NCT04973293,Preoperative Sintilimab Combined With Bevacizumab and Chemotherapy for Resectable Non,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT04973293?cond=Lung%20Cancer&viewType=Card&page=4&rank=40
Lung Cancer,NCT03834116,Resistance Inspiratory Muscle Training for Patients With Thoracic Malignancies,"Information provided by Professor Alex MOLASIOTIS, The Hong Kong Polytechnic University (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT03834116?cond=Lung%20Cancer&viewType=Card&page=5&rank=41
Lung Cancer,NCT05840094,Multimodalitic Imaging in the N,Information provided by Peking University First Hospital (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT05840094?cond=Lung%20Cancer&viewType=Card&page=5&rank=42
Lung Cancer,NCT04059887,Evaluation of Blood TMB for the Efficacy of Atezolizumab [BUDDY],"Information provided by In-Jae, Oh, MD, Chonnam National University Hospital (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT04059887?cond=Lung%20Cancer&viewType=Card&page=5&rank=43
Lung Cancer,NCT03352245,Feasibility of an Activity Regimen in Patients With Advanced Stage Lung Cancer,Information provided by Yale University (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT03352245?cond=Lung%20Cancer&viewType=Card&page=5&rank=44&tab=results
Lung Cancer,NCT07064395,Bright Light Therapy on Sleep Health in Lung Cancer Patients,"Information provided by Menghua Tao, Henry Ford Health System (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT07064395?cond=Lung%20Cancer&viewType=Card&page=5&rank=45
Lung Cancer,NCT07023068,⁶⁸Ga,Information provided by Peking Union Medical College Hospital (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT07023068?cond=Lung%20Cancer&viewType=Card&page=5&rank=46
Lung Cancer,NCT02985203,Oral Navelbine and Cisplatin Followed by Metronomic Oral Navelbine in Non,Information provided by Guangdong Association of Clinical Trials (Responsible Party),Terminated,https://clinicaltrials.gov/study/NCT02985203?cond=Lung%20Cancer&viewType=Card&page=5&rank=47
Lung Cancer,NCT06926140,Acupuncture Combined With PD-1/PD,"Information provided by Liu Zhishun, Guang'anmen Hospital of China Academy of Chinese Medical Sciences (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT06926140?cond=Lung%20Cancer&viewType=Card&page=5&rank=48
Lung Cancer,NCT06794125,An Evaluation of Dose,"Information provided by Chris Goodman, London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's (Responsible Party)",Inconnu,https://clinicaltrials.gov/study/NCT06794125?cond=Lung%20Cancer&viewType=Card&page=5&rank=49
Lung Cancer,NCT06816121,Identification and Validation of Blood-Based Biomarkers for Early Detection of Asymptomatic Lung Cancer in High,"Information provided by Everest Detection, Inc. (Responsible Party)",Inconnu,https://clinicaltrials.gov/study/NCT06816121?cond=Lung%20Cancer&viewType=Card&page=5&rank=50
Lung Cancer,NCT06713564,"A Single Dose, Open-Label, Dose-escalation Study of the Safety and Imaging Characteristics of LS301",Information provided by Integro Theranostics (Responsible Party),Active,https://clinicaltrials.gov/study/NCT06713564?cond=Lung%20Cancer&viewType=Card&page=6&rank=51
Lung Cancer,NCT06772363,SERS,Information provided by Fuzhou General Hospital (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT06772363?cond=Lung%20Cancer&viewType=Card&page=6&rank=52
Lung Cancer,NCT06674252,A Study on the Improvement of Postoperative Symptoms and Survival Benefits of Modified Bufei Decoction in Elderly Patients With Lung Cancer Undergoing Radical Surgery,Information provided by Peking University Cancer Hospital & Institute (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT06674252?cond=Lung%20Cancer&viewType=Card&page=6&rank=53
Lung Cancer,NCT06810375,Erector Spinae Versus Intercostal Nerve Blocks With Liposomal Bupivacaine for Analgesia in Thoracic Surgery,"Information provided by Akhil Patel, George Washington University (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT06810375?cond=Lung%20Cancer&viewType=Card&page=6&rank=54
Lung Cancer,NCT07045532,Assessment the Effectiveness of BTVA in COPD and Ablation in Pulmonary Nodules by Pulmonary MRI,"Information provided by Jiayuan Sun, Shanghai Chest Hospital (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT07045532?cond=Lung%20Cancer&viewType=Card&page=6&rank=55
Lung Cancer,NCT00344773,First,Information provided by AstraZeneca,Completed,https://clinicaltrials.gov/study/NCT00344773?cond=Lung%20Cancer&viewType=Card&page=6&rank=56&tab=results
Lung Cancer,NCT03749512,NLCR in Prediction of the Grade of Lung Tumor.,"Information provided by Piotr Palaczyński, Medical University of Silesia (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT03749512?cond=Lung%20Cancer&viewType=Card&page=6&rank=57
Lung Cancer,NCT04447482,ENB Vs. Conventional Bronchoscopy With Fluoroscopy for Safe and Effective Biopsy of Pulmonary Lesions,"Information provided by Shanghai Youhe Medical Technology Co., Ltd. (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT04447482?cond=Lung%20Cancer&viewType=Card&page=6&rank=58
Lung Cancer,NCT04263467,High Intensity Aerobic Exercise Training and Immune Cell Mobilization in Patients With Lung Cancer (HI AIM),"Information provided by Per thor Straten, Herlev Hospital (Responsible Party)",Active,https://clinicaltrials.gov/study/NCT04263467?cond=Lung%20Cancer&viewType=Card&page=6&rank=59
Lung Cancer,NCT07102589,SWEEP: Shuttle Walking Test for Exercise Evaluation in Pulmonary Resection,Information provided by Seoul National University Bundang Hospital (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT07102589?cond=Lung%20Cancer&viewType=Card&page=6&rank=60
Lung Cancer,NCT06546007,Rarecells Molecular Biomarkers for Early Detection of Lung Cancer,Information provided by Rarecells Diagnostics SAS (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT06546007?cond=Lung%20Cancer&viewType=Card&page=7&rank=61
Lung Cancer,NCT05915221,Effect of SMS Use on Postoperative Respiratory and Cough Exercise Compliance,"Information provided by Zeynep Kızılcık Ozkan, Trakya University (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT05915221?cond=Lung%20Cancer&viewType=Card&page=7&rank=62
Lung Cancer,NCT04974632,Mobile 3D C,Information provided by Chang Gung Memorial Hospital (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT04974632?cond=Lung%20Cancer&viewType=Card&page=7&rank=63
Lung Cancer,NCT02696863,Plan for Systematic Identification of Lung Cancers of Occupational Origin: Implementation Study,Information provided by Institut de Cancérologie de la Loire (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT02696863?cond=Lung%20Cancer&viewType=Card&page=7&rank=64
Lung Cancer,NCT05745506,Effect of Sleep Disorder on the Development of Lung Tumors,Information provided by RenJi Hospital (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT05745506?cond=Lung%20Cancer&viewType=Card&page=7&rank=65
Lung Cancer,NCT03861091,Prophylactic Risedronate for Patients With Peripheral Lung Tumors Treated With SBRT,Information provided by Wake Forest University Health Sciences (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT03861091?cond=Lung%20Cancer&viewType=Card&page=7&rank=66&tab=results
Lung Cancer,NCT06542055,Compare the Effects of Preoperative Pulmonary Rehabilitation Exercises on Postoperative Anxiety and Muscle Strength,Information provided by National Taiwan University Hospital (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT06542055?cond=Lung%20Cancer&viewType=Card&page=7&rank=67
Lung Cancer,NCT06236516,One Fraction Simulation-Free Treatment With CT,Information provided by Washington University School of Medicine (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT06236516?cond=Lung%20Cancer&viewType=Card&page=7&rank=68
Lung Cancer,NCT01388803,The Depth of Right Bronchial Blocker Placement in Taiwanese in Video,Information provided by National Taiwan University Hospital,Completed,https://clinicaltrials.gov/study/NCT01388803?cond=Lung%20Cancer&viewType=Card&page=7&rank=69
Lung Cancer,NCT04888429,Camrelizumab Plus Famitinib as Treatment in Patient With Advanced or Metastatic Pulmonary Sarcomatoid Carcinoma,"Information provided by Qian Chu, Tongji Hospital (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT04888429?cond=Lung%20Cancer&viewType=Card&page=7&rank=70
Lung Cancer,NCT02483052,RejuvenAir Lobectomy for Safety and Histology,"Information provided by CSA Medical, Inc. (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT02483052?cond=Lung%20Cancer&viewType=Card&page=8&rank=71
Lung Cancer,NCT00638625,Correlation of X,"Information provided by Ernest Scalzetti, State University of New York - Upstate Medical University (Responsible Party)",Withdrawn,https://clinicaltrials.gov/study/NCT00638625?cond=Lung%20Cancer&viewType=Card&page=8&rank=72
Lung Cancer,NCT02575898,"Feasibility of a Creative Writing Intervention in an Advanced Cancer Population: A Single Arm, Consecutive Cohort Study","Information provided by Maxwell. T. Vergo, Dartmouth-Hitchcock Medical Center (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT02575898?cond=Lung%20Cancer&viewType=Card&page=8&rank=73
Lung Cancer,NCT07100444,Spinal Metastasis as the First Presentation of Lung Malignancy: Clinical Characteristics and Postoperative Survival,"Information provided by Yu Zhang, PhD, Guangdong Provincial People's Hospital (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT07100444?cond=Lung%20Cancer&viewType=Card&page=8&rank=74
Lung Cancer,NCT07146568,Evaluating the Implementation and Effectiveness of the Pink and Pearl Campaign on Lung Cancer Screening at Christian Hospital,Information provided by Washington University School of Medicine (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT07146568?cond=Lung%20Cancer&viewType=Card&page=8&rank=75
Lung Cancer,NCT06898333,Implementation and Effectiveness of the BJC,Information provided by Washington University School of Medicine (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT06898333?cond=Lung%20Cancer&viewType=Card&page=8&rank=76
Lung Cancer,NCT02331056,Could the Stroke Volume Variation Predict a Fluid Responsiveness in Thoracotomy?,"Information provided by Hyun Joo Ahn, Samsung Medical Center (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT02331056?cond=Lung%20Cancer&viewType=Card&page=8&rank=77
Lung Cancer,NCT06157957,Cancer Screening Smoking Cessation AND Respiratory Assessment,Information provided by Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT06157957?cond=Lung%20Cancer&viewType=Card&page=8&rank=78
Lung Cancer,NCT06780098,Substudy 01I: A Study of Investigational Agents in Participants With Previously Treated Stage IV Squamous Non-small Cell Lung Cancer (NSCLC) (MK-3475-01I/KEYMAKER,Information provided by Merck Sharp & Dohme LLC (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT06780098?cond=Lung%20Cancer&viewType=Card&page=8&rank=79
Lung Cancer,NCT06638398,Biomarker Platform (Virtual Nodule Clinic) for the Management of Indeterminate Pulmonary Nodules,"Information provided by Fabien Maldonado, Vanderbilt-Ingram Cancer Center (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT06638398?cond=Lung%20Cancer&viewType=Card&page=8&rank=80
Lung Cancer,NCT04529603,The Efficacy of Intraoperative Pulmonary Nodules Localization Guided by Virtual Reality Technology,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Withdrawn,https://clinicaltrials.gov/study/NCT04529603?cond=Lung%20Cancer&viewType=Card&page=9&rank=81
Lung Cancer,NCT06419114,Exploration of Optical Coherence Tomography,"Information provided by Guanghong Zhou, Sichuan Provincial People's Hospital (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT06419114?cond=Lung%20Cancer&viewType=Card&page=9&rank=82
Lung Cancer,NCT06158971,Feasibility Study of the Microwave Ablation System for Lung Tissue Ablation,"Information provided by phenoMapper, LLC (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT06158971?cond=Lung%20Cancer&viewType=Card&page=9&rank=83
Lung Cancer,NCT05081674,Brazilian Lung Immunotherapy Study,Information provided by Hospital Israelita Albert Einstein (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT05081674?cond=Lung%20Cancer&viewType=Card&page=9&rank=84
Lung Cancer,NCT02906280,RCT Comparing 19Ga vs 22Ga EBUS,"Information provided by Christophe Dooms, MD, PhD, KU Leuven (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT02906280?cond=Lung%20Cancer&viewType=Card&page=9&rank=85
Lung Cancer,NCT06159660,Ventilation Using Radiographic Examination: Functional Lung Imaging Techniques for the Reduction of Toxicity in Functional Avoidance Radiation Therapy,Information provided by University of Sydney (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT06159660?cond=Lung%20Cancer&viewType=Card&page=9&rank=86
Lung Cancer,NCT05473052,Home,"Information provided by Pedro Machado, Instituto Politécnico de Leiria (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT05473052?cond=Lung%20Cancer&viewType=Card&page=9&rank=87
Lung Cancer,NCT05469425,Home,"Information provided by Pedro Machado, Instituto Politécnico de Leiria (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT05469425?cond=Lung%20Cancer&viewType=Card&page=9&rank=88
Lung Cancer,NCT03368820,Cardiovascular Morbidities and Lung Cancer Treatment: a Prospective Registry,Information provided by European Lung Cancer Working Party (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT03368820?cond=Lung%20Cancer&viewType=Card&page=9&rank=89
Lung Cancer,NCT04995172,Feasibility of Mobile-CT,Information provided by M.D. Anderson Cancer Center (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT04995172?cond=Lung%20Cancer&viewType=Card&page=9&rank=90
Lung Cancer,NCT05046067,Feasibility Study of Anatomical Modeling for Image Guided Thoracic Surgery,Information provided by M.D. Anderson Cancer Center (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT05046067?cond=Lung%20Cancer&viewType=Card&page=10&rank=91
Lung Cancer,NCT05059132,Inspiratory Muscle Training and Behavioral Support to Alleviate Dyspnea and Promote Walking in Lung Cancer Survivors: A Pilot Study,Information provided by Kaiser Permanente (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT05059132?cond=Lung%20Cancer&viewType=Card&page=10&rank=92
Lung Cancer,NCT02713828,Study of Glembatumumab Vedotin in gpNMB,"Information provided by PrECOG, LLC. (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT02713828?cond=Lung%20Cancer&viewType=Card&page=10&rank=93&tab=results
Lung Cancer,NCT06258954,Effect of 3D,"Information provided by Yihao Zhu, Sichuan Cancer Hospital and Research Institute (Responsible Party)",Inconnu,https://clinicaltrials.gov/study/NCT06258954?cond=Lung%20Cancer&viewType=Card&page=10&rank=94
Lung Cancer,NCT00899782,Collection and Storage of Blood and Tissue Samples From Patients Who Are Undergoing Surgery For Lung Cancer,Information provided by Alliance for Clinical Trials in Oncology (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT00899782?cond=Lung%20Cancer&viewType=Card&page=10&rank=95
Lung Cancer,NCT05764928,Evaluate the Safety and Efficacy of BLEX 404 Oral Liquid Combined With Pemetrexed + Cisplatin Therapy,Information provided by Rgene Corporation (Responsible Party),Inconnu,https://clinicaltrials.gov/study/NCT05764928?cond=Lung%20Cancer&viewType=Card&page=10&rank=96
Lung Cancer,NCT06830694,"Clinical Trial for Safety and Effectiveness Evaluation of Tarlatamab (AMG757) with Etoposide, Carboplatin and Atezolizumab in Transformed Small Cell Lung Cancer Patients from Adenocarcinoma After EGFR TKI Treatment","Information provided by Myung-Ju Ahn, Samsung Medical Center (Responsible Party)",Inconnu,https://clinicaltrials.gov/study/NCT06830694?cond=Lung%20Cancer&viewType=Card&page=10&rank=97
Lung Cancer,NCT03655015,Patient,Information provided by The University of Texas Health Science Center at San Antonio (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT03655015?cond=Lung%20Cancer&viewType=Card&page=10&rank=98
Lung Cancer,NCT03741868,Symptom Burden and Unmet Supportive Care Needs in Lung Cancer Patients Undergoing First or Second Line Immunotherapy,Information provided by Wake Forest University Health Sciences (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT03741868?cond=Lung%20Cancer&viewType=Card&page=10&rank=99
Lung Cancer,NCT02259582,"A Study of Carboplatin, Pemetrexed Plus Placebo vs Carboplatin, Pemetrexed Plus 1 or 2 Truncated Courses of Demcizumab in Subjects With Non-Squamous Non","Information provided by Mereo BioPharma (OncoMed Pharmaceuticals, Inc.) (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT02259582?cond=Lung%20Cancer&viewType=Card&page=10&rank=100&tab=results
Lung Cancer,NCT04917224,Study of LUNG Stereotactic Adaptive Ablative Radiotherapy,Information provided by Baptist Health South Florida (Responsible Party),Withdrawn,https://clinicaltrials.gov/study/NCT04917224?cond=Lung%20Cancer&viewType=Card&page=11&rank=101
Lung Cancer,NCT01261507,Reader Study of DeltaView™ Chest Radiograph Software,"Information provided by Matthew T. Freedman, MD, Georgetown University (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT01261507?cond=Lung%20Cancer&viewType=Card&page=11&rank=102&tab=results
